Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,product rating count (product.metafields.custom.product_rating_count),Size Guide Type (product.metafields.custom.size_guide_type),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/1a110cdeb4611bb06dc73025e19e092ef38bf550ce9870452a33b81728254f09_ac2a8fc2-9cb0-4d34-a3da-10cc0d94e91a.jpg?v=1787936323,5,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Pink Bedding",,,,,,,,,,,,,,,,,,,,,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/ea04152d8b142a6d590a5ddfdc02601aa8a9d8d785f56bc4eca30f642edbb7eb.jpg?v=1787936323,6,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Pink Bedding",,,,,,,,,,,,,,,,,,,,,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 07","<p>Experience ultimate comfort and style with the Jeminise Comforter Set. Crafted from premium, finely brushed microfibers, this 5-piece bedding set offers exceptional softness, lightness, and breathability for a peaceful night's sleep. The stylish Ghost 1 pattern adds a touch of fashion and coziness to your sleeping space.</p><h3>Key Features</h3><ul>
<li>
<strong>Premium Material:</strong> Filled with finely brushed microfibers for exceptional softness, lightness, and breathability, ensuring maximum comfort.</li>
<li>
<strong>Included Components:</strong> This 5-piece set comes with one comforter, one flat sheet, one fitted sheet, one pillowcase, and one pillow sham.</li>
<li>
<strong>Exquisite Design:</strong> Features stylish Ghost 1 patterns and exquisite stitching that enhances durability and prevents filling from shifting.</li>
<li>
<strong>Easy Fit:</strong> The deep-pocket fitted sheet has an elastic band on all four sides, accommodating mattresses up to 14 inches thick for a secure fit.</li>
<li>
<strong>Easy Care:</strong> Simply machine wash in cold water and tumble dry on low for lasting durability without weakening or tearing.</li>
<li>
<strong>Versatile Use:</strong> Suitable for all seasons – Fall, Summer, Winter.</li>
</ul><h3>Product Specifications</h3><table><tbody>
<tr>
<th>Brand</th>
<td>Jeminise</td>
</tr>
<tr>
<th>Product Type</th>
<td>Comforter Set</td>
</tr>
<tr>
<th>Material</th>
<td>Polyester</td>
</tr>
<tr>
<th>Fabric Type</th>
<td>Brushed Microfiber and Polyester Filling.</td>
</tr>
<tr>
<th>Selected Design</th>
<td>Ghost 1</td>
</tr>
<tr>
<th>Theme</th>
<td>Horror Cartoon</td>
</tr>
<tr>
<th>Pattern</th>
<td>Pumpkin,Ghost,Bats</td>
</tr>
<tr>
<th>Selected Size</th>
<td>Twin</td>
</tr>
<tr>
<th>Included Components</th>
<td>1 x Comforter &amp; 1 x Pillowcase &amp; 1 x Pillow Sham &amp; 1 x Fitted Sheet &amp; 1 x Flat Sheet</td>
</tr>
<tr>
<th>Dimensions</th>
<td>90 x 68 x 1 inches</td>
</tr>
<tr>
<th>Special Feature</th>
<td>Deep-pocket fitted sheet</td>
</tr>
<tr>
<th>Seasons</th>
<td>All, Fall, Summer, Winter</td>
</tr>
<tr>
<th>Care Instructions</th>
<td>Machine Wash</td>
</tr>
</tbody></table>",Jeminise,Business & Industrial > Medical > Medical Bedding,Comforter Sets,"All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Contemporary Style, Easy Care, Ghost, Halloween Comforter, Twin",true,Size,Twin,,,,,,,,AMZ-B0FFG5S544,0.0,,0,deny,manual,68.85,98.36,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/feceab1269e0c41029cfcb73e8317439de8337d84336b09e87d52e7744326f5e.jpg?v=1787936313,1,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",false,,"Indulge in cozy comfort with the Jeminise Twin Halloween Comforter Set. Featuring premium microfiber fill, a stylish Ghost 1 design, and easy care.",6303,,,,,,,,,,,,comforter,,,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/feceab1269e0c41029cfcb73e8317439de8337d84336b09e87d52e7744326f5e.jpg?v=1787936313,lb,,,active
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,,,,,,,,,Full,,,,,,,,,0.0,,0,deny,manual,83.85,119.79,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/7683974b7a31c9cf865fb550d243761f446de029999d81b730d1be1d4bffd71a.jpg?v=1787936313,2,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",,,,,,,,,,,,,,,,,,,,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,,,,,,,,,Queen,,,,,,,,,0.0,,0,deny,manual,98.85,141.21,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/d15de982cf49c61d63dcb3e70a085c7480d7757447c46dfe1f4e360681c9f501.jpg?v=1787936313,3,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",,,,,,,,,,,,,,,,,,,,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,,,,,,,,,King,,,,,,,,,0.0,,0,deny,manual,113.85,162.64,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/30ac2af2067079c32aee59f6826a158fdef74dbd36e4a379b1f3dad211c0c404.jpg?v=1787936313,4,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",,,,,,,,,,,,,,,,,,,,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/9d916a0bc9f840d4bf410947c3497d6a50cfc268bce2c2020b74a8951bbd4f62.jpg?v=1787936313,5,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",,,,,,,,,,,,,,,,,,,,,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/3e227101e2e9c24d641f1ea4dd5f5e1cb8ef75e8fe6c70b298e93002e2905f25.jpg?v=1787936313,6,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Mystic Bedding",,,,,,,,,,,,,,,,,,,,,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 06","<p>Experience ultimate comfort and spooky style with the Jeminise Comforter Set. This 5-piece bedding set, featuring a captivating Halloween theme, is designed to provide exceptional softness and breathability for a peaceful night's sleep. Perfect for adding a festive and cozy touch to your bedroom, it's an ideal choice for all seasons.</p><h3>Key Features</h3><ul>
<li>
<strong>Premium Material:</strong> Crafted with finely brushed microfibers for exceptional softness, lightness, and breathability, ensuring maximum comfort.</li>
<li>
<strong>Content Included:</strong> Comes with a comforter (68"" x 90""), flat sheet (66"" x 92""), fitted sheet (39"" x 80"" x 14""), one pillowcase (20"" x 30""), and one pillow sham (20"" x 30""). Pillow inserts are not included.</li>
<li>
<strong>Exquisite Design:</strong> Features stylish and exquisite patterns with a Halloween theme, adding a touch of fashion and coziness to your sleeping space.</li>
<li>
<strong>Durable Stitching:</strong> Comforter includes exquisite stitching that enhances durability and prevents filling from shifting or clumping.</li>
<li>
<strong>Easy Fit:</strong> The deep-pocket fitted sheet is designed with an elastic band on all four sides to accommodate mattresses up to 14 inches thick, ensuring a secure fit.</li>
<li>
<strong>Easy Care:</strong> Simply machine wash in cold water and tumble dry on low; designed to withstand years of use without weakening or tearing.</li>
<li>
<strong>Versatile Use:</strong> Suitable for all seasons, offering comfort whether it's fall, summer, winter, or any time of year.</li>
</ul><h3>Product Specifications</h3><table><tbody>
<tr>
<th>Brand</th>
<td>Jeminise</td>
</tr>
<tr>
<th>Product Type</th>
<td>Comforter Set</td>
</tr>
<tr>
<th>Material</th>
<td>Polyester</td>
</tr>
<tr>
<th>Fabric Type</th>
<td>Brushed Microfiber and Polyester Filling.</td>
</tr>
<tr>
<th>Selected Design</th>
<td>Ghost 1</td>
</tr>
<tr>
<th>Theme</th>
<td>Horror Cartoon</td>
</tr>
<tr>
<th>Pattern</th>
<td>Pumpkin,Ghost,Bats</td>
</tr>
<tr>
<th>Included Components</th>
<td>1 x Comforter &amp; 1 x Pillowcase &amp; 1 x Pillow Sham &amp; 1 x Fitted Sheet &amp; 1 x Flat Sheet</td>
</tr>
<tr>
<th>Available Sizes</th>
<td>Twin</td>
</tr>
<tr>
<th>Dimensions</th>
<td>90 x 68 x 1 inches</td>
</tr>
<tr>
<th>Special Feature</th>
<td>Elastic Band, Deep Pocket</td>
</tr>
<tr>
<th>Seasons</th>
<td>All, Fall, Summer, Winter</td>
</tr>
<tr>
<th>Care Instructions</th>
<td>Machine Wash</td>
</tr>
<tr>
<th>Thread Count</th>
<td>400</td>
</tr>
<tr>
<th>Fitted Sheet Depth</th>
<td>14 inches</td>
</tr>
<tr>
<th>Number of Pieces</th>
<td>5</td>
</tr>
</tbody></table>",Jeminise,Home & Garden > Lawn & Garden > Gardening > Composting > Composters,Comforter Sets,"All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Contemporary, Easy Care, Halloween Comforter",true,Size,Twin,,,,,,,,AMZ-B0FFGCV7BM,0.0,,0,deny,manual,68.85,98.36,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307,1,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",false,,"Jeminise 5-piece Twin Halloween Comforter Set with Sheets. Experience premium microfiber softness, exquisite ghost, pumpkin, and bat designs, and easy care for all seasons.",6436,,,,,,,,,,,,comforter,,,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307,lb,,,active
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,,,,,,,,,Full,,,,,,,,AMZ-B0FFGCJTHJ,0.0,,0,deny,manual,83.85,119.79,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/1a90986a710d8ec7e3fd994a8c712b5b6adf1486722d0ac1005cdfab2898c774.jpg?v=1787936307,2,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,,,,,,,,,Queen,,,,,,,,AMZ-B0FFFWCWR5,0.0,,0,deny,manual,98.85,141.21,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/14e0c414dcf8f732a3efcb85f1038b86f760c8561254aa5ccba8af1194c7a4b9.jpg?v=1787936307,3,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,,,,,,,,,King,,,,,,,,AMZ-B0FFG5Q7JX,0.0,,0,deny,manual,113.85,162.64,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/60955256316c3a7bdd4e572c3f1101f8d5511e78a1d363f9d70104b52b193f71.jpg?v=1787936307,4,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307,lb,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/e1fbf76f0a4f56333e589145881221e54d4d698d00057714af3d90bfcfcbcde8.jpg?v=1787936307,5,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",,,,,,,,,,,,,,,,,,,,,,,
pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0792/5098/1063/files/c704e78fea6b0af8659e3bb6318e69c7a083dd569ad0e78c293e9f2bb37a0b50.jpg?v=1787936307,6,"Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Bloody Bedding",,,,,,,,,,,,,,,,,,,,,,,
